x,y005,y001,y0001
683,0.0776,0.02,0.00272
684,0.0801,0.0209,0.0015
685,0.0826,0.0217,0.0022
686,0.0851,0.0176,0.00168
687,0.0878,0.0183,0.00245
688,0.0904,0.0191,0.00187
689,0.0932,0.0199,0.00197
690,0.0792,0.0207,0.00208
691,0.0817,0.0216,0.0022
692,0.0842,0.0174,0.00232
693,0.0868,0.0182,0.00245
694,0.0894,0.0189,0.00258
695,0.076,0.0197,0.00371
696,0.0783,0.0206,0.00286
697,0.0808,0.0214,0.0022
698,0.0833,0.0223,0.00318
699,0.0859,0.0232,0.00245
700,0.0885,0.0188,0.00187
701,0.0911,0.0152,0.00198
702,0.0775,0.0158,0.00151
703,0.0799,0.0212,0.0022
704,0.0824,0.0221,0.00232
705,0.0849,0.023,0.00334
706,0.0875,0.0187,0.00187
707,0.0743,0.0194,0.00271
708,0.0928,0.0202,0.00151
709,0.0791,0.0211,0.00301
710,0.0815,0.0171,0.00232
711,0.084,0.0228,0.0045
712,0.0866,0.0185,0.00187
713,0.0892,0.0193,0.00271
714,0.0918,0.0201,0.00285
715,0.0782,0.0163,0.00115
716,0.0806,0.0217,0.00232
717,0.0831,0.0177,0.00178
718,0.0856,0.0235,0.00257
719,0.0882,0.0191,0.00367
720,0.075,0.0199,0.00208
721,0.0774,0.0207,0.0022
722,0.0798,0.0216,0.00168
723,0.0822,0.0224,0.00178
724,0.0847,0.0182,0.00187
725,0.0872,0.019,0.00197
726,0.0898,0.0198,0.00208
727,0.0925,0.016,0.00219
728,0.0952,0.0167,0.00121
729,0.0813,0.0174,0.00178
730,0.0838,0.0181,0.00256
731,0.0863,0.024,0.00197
732,0.0888,0.0196,0.00208
733,0.0757,0.0204,0.00298
734,0.0781,0.0166,0.00168
735,0.0804,0.0221,0.00243
736,0.0829,0.0229,0.000976
737,0.0705,0.0187,0.00269
738,0.0727,0.0152,0.00208
739,0.0749,0.0158,0.00219
740,0.0931,0.021,0.00168
741,0.0958,0.0171,0.00243
742,0.082,0.0178,0.00255
743,0.0844,0.0185,0.00269
744,0.0869,0.0193,0.00109
745,0.0895,0.0201,0.00219
746,0.0921,0.0209,0.00312
747,0.0787,0.017,0.00177
748,0.0811,0.0177,0.00255
749,0.0835,0.0184,0.00268
750,0.086,0.0191,0.0038
751,0.0885,0.0199,0.00296
752,0.0911,0.0207,0.0023
753,0.0937,0.0169,0.00327
754,0.0802,0.0175,0.00344
755,0.0826,0.0183,0.00143
756,0.085,0.0148,0.00207
757,0.0875,0.0197,0.00218
758,0.0901,0.0205,0.00311
759,0.077,0.0213,0.00326
760,0.0793,0.0174,0.000981
761,0.0817,0.0181,0.00143
762,0.0841,0.0188,0.00281
763,0.0866,0.0196,0.00295
764,0.074,0.0204,0.00168
765,0.0762,0.0166,0.00177
766,0.0785,0.022,0.00253
767,0.0808,0.0228,0.00266
768,0.0832,0.0187,0.0028
769,0.0856,0.0194,0.00159
770,0.0881,0.0255,0.00168
771,0.0754,0.021,0.0024
772,0.0933,0.0218,0.0034
773,0.0799,0.0178,0.00143
774,0.0823,0.0185,0.00279
775,0.0847,0.0244,0.00217
776,0.0872,0.02,0.00168
777,0.0897,0.0208,0.0024
778,0.0922,0.0216,0.00252
779,0.0791,0.0224,0.00356
780,0.0814,0.0233,0.00278
781,0.0838,0.0191,0.00216
782,0.0862,0.0156,0.00228
783,0.0887,0.0206,0.00239
784,0.0912,0.0214,0.00338
785,0.0938,0.0222,0.00355
786,0.0805,0.0182,0.00277
787,0.0829,0.024,0.00216
788,0.0853,0.0197,0.00227
789,0.0877,0.0204,0.00321
790,0.0902,0.0212,0.00251
791,0.0774,0.022,0.00263
792,0.0797,0.0229,0.00277
793,0.082,0.0188,0.00215
794,0.0844,0.0195,0.00226
795,0.0868,0.0203,0.00129
796,0.0893,0.0166,0.0025
797,0.0918,0.0219,0.00468
798,0.0943,0.0179,0.00204
799,0.097,0.0186,0.00289
800,0.0996,0.0193,0.00226
801,0.0858,0.0158,0.00319
802,0.0883,0.0165,0.00184
803,0.0908,0.0217,0.00351
804,0.078,0.0178,0.00204
805,0.0802,0.0185,0.00158
806,0.0825,0.0192,0.00122
807,0.0849,0.0199,0.00237
808,0.0873,0.0163,0.00333
809,0.0749,0.017,0.00349
810,0.0923,0.0223,0.00203
811,0.0794,0.0183,0.00287
812,0.0816,0.019,0.00402
813,0.084,0.0198,0.00175
814,0.0864,0.0205,0.00248
815,0.0888,0.0213,0.00193
816,0.0763,0.0221,0.00364
817,0.0785,0.0182,0.00157
818,0.0808,0.0189,0.00166
819,0.0831,0.0196,0.00174
820,0.0854,0.0161,0.00183
821,0.0878,0.0167,0.00346
822,0.0903,0.0219,0.00202
823,0.0928,0.0227,0.00285
824,0.0799,0.0187,0.00299
825,0.0822,0.0194,0.00314
826,0.0845,0.0201,0.00329
827,0.0869,0.0165,0.00258
828,0.0893,0.0172,0.00271
829,0.0918,0.0225,0.00284
830,0.0943,0.0185,0.00121
831,0.0813,0.0192,0.00173
832,0.0836,0.02,0.00245
833,0.0859,0.0207,0.00192
834,0.0883,0.0215,0.00109
835,0.0908,0.0177,0.00283
